id,projectNumber,queueDate,inService,transmissionOwner,county,state,studyCycle,studyGroup,studyPhase,svcType,poiName,summerNetMW,winterNetMW,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,fuelType,facilityType,applicationStatus,sisPhase1,postGIAStatus,withdrawnDate,negInService,doneDate,giaToExec
3036463,J3833,2024-10-01T04:00:00+00:00,2028-09-01T04:00:00+00:00,OTTER TAIL POWER COMPANY,Cass,ND,DPP-2025,West,Phase 1,NRIS,Buffalo 115 kV,200.00,200.00,200.00,200.00,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3036464,J3464,2024-04-16T04:00:00+00:00,2028-06-30T04:00:00+00:00,ITC MIDWEST,Story,IA,DPP-2023,West,Study Not Started,NRIS,Fernald,200.00,200.00,200.00,0.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036465,J3462,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,ITC MIDWEST,Tama,IA,DPP-2023,West,Study Not Started,NRIS,Dysart - Traer 161kV,187.00,187.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-06-04T04:00:00+00:00,,,
3036466,J3461,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,MIDAMERICAN ENERGY CO.,Muscatine,IA,DPP-2023,West,Study Not Started,NRIS,SUB 56 - SUB 89 161.0kV,156.00,156.00,156.00,156.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036467,J3463,2024-04-18T04:00:00+00:00,2026-10-01T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",Jefferson,MS,DPP-2023,South,Study Not Started,NRIS,LORMAN SS (CE) - FAYETTE 115.0kV,100.00,100.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-06-09T04:00:00+00:00,,,
3036468,J3485,2024-04-16T04:00:00+00:00,2028-09-15T04:00:00+00:00,ITC,Huron,MI,DPP-2023,East (ITC),Study Not Started,NRIS,RAPSON,100.00,100.00,100.00,100.00,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3036469,J3483,2024-04-16T04:00:00+00:00,2027-03-01T05:00:00+00:00,AMEREN ILLINOIS,Champaign,IL,DPP-2023,Central,Study Not Started,NRIS,4RANTOUL  - 4RISING   138.0kV,137.40,137.40,0.00,0.00,0.00,0.00,Wind,Wind Turbine,Withdrawn,,Not Started,2024-09-03T04:00:00+00:00,,,
3036470,J3486,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,WOLVERINE POWER SUPPLY COOPERATIVE,Muskegon,MI,DPP-2023,East (ITC),Study Not Started,NRIS,Rogers 138 kV Substation,200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-09-25T04:00:00+00:00,,,
3036471,J3482,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,AMEREN ILLINOIS,McLean,IL,DPP-2023,Central,Study Not Started,ERIS,Other_,350.00,350.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036472,J3484,2024-04-12T04:00:00+00:00,2027-02-28T05:00:00+00:00,"ENTERGY ARKANSAS, LLC",Union,AR,DPP-2023,South,Study Not Started,ERIS,EL DORADO EHV - SAREPTA 345/115 SS 345.0kV,200.00,200.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036473,J3487,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Vermillion,IN,DPP-2023,Central,Study Not Started,NRIS,CAYUGA 345,400.00,400.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036474,J3488,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Vermillion,IN,DPP-2023,Central,Study Not Started,NRIS,CAYUGA 345,400.00,400.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-09-24T04:00:00+00:00,,,
3036475,J3490,2024-03-21T04:00:00+00:00,2027-09-01T04:00:00+00:00,BIG RIVERS ELECTRIC CORPORATION,Caldwell,KY,DPP-2023,Central,Study Not Started,NRIS,Caldwell County,200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036476,J3491,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,Posey,IN,DPP-2023,Central,Study Not Started,NRIS,AB Brown 345 - Gibson (Duke Terminal) 345.0kV,45.00,45.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-04-11T04:00:00+00:00,,,
3036477,J3492,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,Posey,IN,DPP-2023,Central,Study Not Started,NRIS,AB Brown 345 - Gibson (Duke Terminal) 345.0kV,45.00,45.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-04-11T04:00:00+00:00,,,
3036478,J3493,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,AMEREN TRANSMISSION COMPANY OF ILLINOIS,McDonough,IL,DPP-2023,Central,Study Not Started,NRIS,Other_,200.00,200.00,200.00,200.00,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3036479,J3319,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,"ENTERGY LOUISIANA, LLC",Webster,LA,DPP-2023,South,Study Not Started,NRIS,SAREPTA 345/115 SS,150.00,150.00,0.00,0.00,0.00,0.00,Hybrid,Solar/Battery,Withdrawn,,,2025-05-23T04:00:00+00:00,,,
3036480,J3336,2024-04-05T04:00:00+00:00,2027-04-01T04:00:00+00:00,ITC,Tuscola,MI,DPP-2023,East (ITC),Study Not Started,NRIS,RINGLE,41.80,41.80,41.80,41.80,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3036481,J3335,2024-04-18T04:00:00+00:00,2028-10-01T04:00:00+00:00,AMEREN ILLINOIS,McLean,IL,DPP-2023,Central,Study Not Started,NRIS,Other_,222.00,222.00,0.00,0.00,0.00,0.00,Wind,Wind Turbine,Withdrawn,,,2025-09-30T04:00:00+00:00,,,
3036482,J3337,2024-04-16T04:00:00+00:00,2028-03-01T05:00:00+00:00,AMEREN MISSOURI,Stoddard,MO,DPP-2023,Central,Study Not Started,ERIS,5VANDUSER,230.00,230.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036483,J3334,2024-04-05T04:00:00+00:00,2028-06-01T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",LaPorte,IN,DPP-2023,Central,Study Not Started,NRIS,MAPLE,100.00,100.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-09-24T04:00:00+00:00,,,
3036484,J3372,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,AMEREN ILLINOIS,Macoupin,IL,DPP-2023,Central,Study Not Started,NRIS,Rezzy,100.00,100.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036485,J3400,2024-03-20T04:00:00+00:00,2028-04-19T04:00:00+00:00,OTTER TAIL POWER COMPANY,Deuel,SD,DPP-2023,West,Study Not Started,NRIS,Astoria 345kV substation,142.20,142.20,142.20,142.20,0.00,0.00,Hybrid,"Piston (Engine), Internal Combustion (Diesel)",Active,,,,,,
3036486,J3402,2024-04-18T04:00:00+00:00,2028-05-31T04:00:00+00:00,AMERICAN TRANSMISSION COMPANY,Juneau,WI,DPP-2023,East (ATC),Study Not Started,NRIS,New J1502 TO Switching Station (Emerson),200.00,200.00,200.00,200.00,0.00,0.00,Battery Storage,Battery Storage,Pending Revision Approval,,,,,,
3036487,J3407,2024-04-11T04:00:00+00:00,2028-10-31T04:00:00+00:00,METC,Manistee,MI,DPP-2023,East (ITC),Study Not Started,NRIS,LINDEMAN - TIPPY 138.0kV,300.00,300.00,300.00,300.00,0.00,0.00,Gas,Combustion Turbine (Simple Cycle),Withdrawn,,,2026-01-05T05:00:00+00:00,,,
3036488,J3456,2024-04-18T04:00:00+00:00,2028-05-31T04:00:00+00:00,AMEREN ILLINOIS,Tazewell,IL,DPP-2023,Central,Study Not Started,NRIS,San Jose Rail Switching Station,100.00,100.00,100.00,100.00,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3036489,J3457,2024-04-12T04:00:00+00:00,2027-02-28T05:00:00+00:00,"ENTERGY ARKANSAS, LLC",Arkansas,AR,DPP-2023,South,Study Not Started,ERIS,STUTTGART RICUSKEY - WOODWARD 230 SUB 230.0kV,215.00,215.00,215.00,0.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036490,J3293,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Knox,IN,DPP-2023,Central,Study Not Started,NRIS,Edwardsport IGCC - Amo 345.0kV,250.00,250.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036491,J3294,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,HOOSIER ENERGY,Daviess,IN,DPP-2023,Central,Study Not Started,NRIS,GPC Primary - Sandborn Primary 161.0kV,200.00,200.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-09-16T04:00:00+00:00,,,
3036492,J3295,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,CLECO POWER LLC,Beauregard,LA,DPP-2023,South,Study Not Started,NRIS,Cole - Penton Road 230.0kV,250.00,250.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036493,J3296,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,Southern Illinois Power Cooperative,Hamilton,IL,DPP-2023,Central,Study Not Started,NRIS,Hamilton,200.00,200.00,202.19,202.19,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3036494,J3297,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",St. Clair,IL,DPP-2023,Central,Study Not Started,NRIS,Herzog,150.00,150.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036495,J3298,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,Tazewell,IL,DPP-2023,Central,Study Not Started,NRIS,Towerline,200.00,200.00,200.00,200.00,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3036496,J3299,2024-04-17T04:00:00+00:00,2027-01-31T05:00:00+00:00,"ENTERGY TEXAS, INC.",Jefferson,TX,DPP-2023,South,Study Not Started,NRIS,BEVIL,150.00,150.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-07-30T04:00:00+00:00,,,
3036497,J3802,2024-04-17T04:00:00+00:00,2028-09-04T04:00:00+00:00,"ENTERGY ARKANSAS, LLC",Phillips,AR,DPP-2023,South,Study Not Started,NRIS,RITCHIE SWYD - TARLETON 230.0kV,300.00,300.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-09-30T04:00:00+00:00,,,
3036498,J3824,2024-04-18T04:00:00+00:00,2028-09-30T04:00:00+00:00,OTTER TAIL POWER COMPANY,Roberts,SD,DPP-2023,West,Study Not Started,NRIS,Twin Brooks 345 kV Substation,250.00,250.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2024-06-28T04:00:00+00:00,,,
3036499,J3778,2024-04-15T04:00:00+00:00,2028-08-15T04:00:00+00:00,MISSOURI RIVER ENERGY SERVICES - TRANSMISSION,Otter Tail,MN,DPP-2023,West,Study Not Started,NRIS,Fergus Falls MRES/WMMPA,100.00,100.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-09-30T04:00:00+00:00,,,
3036500,J3776,2024-04-18T04:00:00+00:00,2028-09-30T04:00:00+00:00,METC,Midland,MI,DPP-2023,East (ITC),Study Not Started,NRIS,TittabawASSEe,150.00,150.00,150.00,150.00,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3036501,J3777,2024-04-12T04:00:00+00:00,2028-04-01T04:00:00+00:00,METC,Cheboygan,MI,DPP-2023,East (ITC),Study Not Started,NRIS,MC GULPIN - RIGGSVILLE (MILL CREEK) 138.0kV,91.80,91.80,91.80,91.80,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036502,J3779,2024-04-17T04:00:00+00:00,2026-10-15T04:00:00+00:00,Southern Indiana Gas & Electric Company d/b/a Centerpoint Energy Indiana South,Henderson,KY,DPP-2023,Central,Study Not Started,NRIS,AB Brown 345 - Reid EHV (BREC Terminal) 345.0kV,100.00,100.00,0.00,0.00,0.00,0.00,Wind,Wind Turbine,Withdrawn,,,2025-08-13T04:00:00+00:00,,,
3036503,J3795,2024-04-18T04:00:00+00:00,2028-01-01T05:00:00+00:00,AMEREN TRANSMISSION COMPANY OF ILLINOIS,Knox,MO,DPP-2023,Central,Study Not Started,NRIS,7FABIUS - 7MAYWOOD 345.0kV,91.00,91.00,0.00,0.00,0.00,0.00,Hybrid,Solar/Battery,Withdrawn,,,2025-09-25T04:00:00+00:00,,,
3036504,J3792,2024-04-18T04:00:00+00:00,2028-04-01T04:00:00+00:00,METC,Gratiot,MI,DPP-2023,East (ITC),Study Not Started,ERIS,ALMA - VESTABURG 138.0kV,125.00,125.00,125.00,0.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036505,J3794,2024-04-18T04:00:00+00:00,2028-01-01T05:00:00+00:00,BIG RIVERS ELECTRIC CORPORATION,Daviess,KY,DPP-2023,Central,Study Not Started,NRIS,Daviess County - Utica 69.0kV,50.00,50.00,0.00,0.00,0.00,0.00,Hybrid,Solar/Battery,Withdrawn,,,2025-09-25T04:00:00+00:00,,,
3036506,J3793,2024-04-18T04:00:00+00:00,2028-04-01T04:00:00+00:00,CLECO POWER LLC,Rapides,LA,DPP-2023,South,Study Not Started,ERIS,East Leesville - Rodemacher 230.0kV,100.00,100.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036507,J3797,2024-04-18T04:00:00+00:00,2028-03-31T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Edgar,IL,DPP-2023,Central,Study Not Started,NRIS,7KANSAS   - 08SUGCRK 345.0kV,141.23,141.23,141.23,109.80,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036508,J3798,2024-03-27T04:00:00+00:00,2028-06-30T04:00:00+00:00,ITC MIDWEST,Winnebago,IA,DPP-2023,West,Study Not Started,NRIS,Bison - Colby 345kV,320.00,320.00,320.00,320.00,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3036509,J3498,2024-04-13T04:00:00+00:00,2028-09-15T04:00:00+00:00,AMEREN TRANSMISSION COMPANY OF ILLINOIS,Knox,IL,DPP-2023,Central,Study Not Started,NRIS,7FARGO - 7SANDBURG 345.0kV,250.00,250.00,250.00,250.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036510,J3499,2024-04-14T04:00:00+00:00,2028-09-15T04:00:00+00:00,NORTHERN INDIANA PUBLIC SERVICE COMPANY LLC,Kosciusko,IN,DPP-2023,Central,Study Not Started,NRIS,LEESBURG - DEEDSVILLE (DUKE) 345.0kV,300.00,300.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-07-30T04:00:00+00:00,,,
3036511,J3501,2024-04-15T04:00:00+00:00,2028-06-01T04:00:00+00:00,METC,Wexford,MI,DPP-2023,East (ITC),Study Not Started,NRIS,KEYSTONE - TIPPY 138.0kV,200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036512,J3500,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,NORTHERN STATES POWER COMPANY,Chisago,MN,DPP-2023,West,Study Not Started,NRIS,CHISAGO COUNTY,150.00,150.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036513,J3502,2024-04-17T04:00:00+00:00,2028-09-15T04:00:00+00:00,METC,Van Buren,MI,DPP-2023,East (ITC),Study Not Started,NRIS,ARGENTA - PALISADES 345.0kV,200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-09-29T04:00:00+00:00,,,
3036514,J3544,2024-04-17T04:00:00+00:00,2027-10-30T04:00:00+00:00,ITC MIDWEST,Tama,IA,DPP-2023,West,Study Not Started,NRIS,Abbott,62.00,62.00,0.00,0.00,0.00,0.00,Wind,Wind Turbine,Withdrawn,,,2025-07-09T04:00:00+00:00,,,
3036515,J3548,2024-04-18T04:00:00+00:00,2027-10-30T04:00:00+00:00,ITC MIDWEST,Marshall,IA,DPP-2023,West,Study Not Started,NRIS,Laurel,62.00,62.00,0.00,0.00,0.00,0.00,Wind,Wind Turbine,Withdrawn,,,2025-07-09T04:00:00+00:00,,,
3036516,J3549,2024-04-17T04:00:00+00:00,2026-06-01T04:00:00+00:00,GREAT RIVER ENERGY,Mower,MN,DPP-2023,West,Study Not Started,NRIS,NOT IN DROPDOWN MENU,484.50,515.00,0.00,0.00,0.00,0.00,Gas,Combustion Turbine (Simple Cycle),Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036517,J3550,2024-04-18T04:00:00+00:00,2027-09-10T04:00:00+00:00,SOUTHERN INDIANA GAS & ELECTRIC COMPANY D/B/A CENTERPOINT ENERGY INDIANA SOUTH,Dubois,IN,DPP-2023,Central,Study Not Started,NRIS,Duff - Dubois 138.0 kV,200.00,200.00,200.00,200.00,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3036518,J3551,2024-04-18T04:00:00+00:00,2027-09-10T04:00:00+00:00,MIDAMERICAN ENERGY CO.,Mahaska,IA,DPP-2023,West,Study Not Started,NRIS,BEACON,200.00,200.00,200.00,200.00,0.00,0.00,Battery Storage,Battery Storage,Active,,,,,,
3036519,J3574,2024-04-17T04:00:00+00:00,2027-10-01T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Wayne,IN,DPP-2023,Central,Study Not Started,NRIS,Other_,60.00,60.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-07-31T04:00:00+00:00,,,
3036520,J3608,2024-04-18T04:00:00+00:00,2028-07-01T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Henry,IN,DPP-2023,Central,Study Not Started,NRIS,New Castle I Avenue,77.60,77.60,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-09-26T04:00:00+00:00,,,
3036521,J3611,2024-04-18T04:00:00+00:00,2026-12-30T05:00:00+00:00,AMEREN ILLINOIS,Hamilton,IL,DPP-2023,Central,Study Not Started,NRIS,7W_FRFT_E - 7NORRIS   345.0kV,140.00,140.00,140.00,140.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036522,J3606,2024-04-18T04:00:00+00:00,2028-01-01T05:00:00+00:00,"ENTERGY ARKANSAS, LLC",Cross,AR,DPP-2023,South,Study Not Started,NRIS,PARKIN - KUHN ROAD 161.0kV,197.70,197.70,0.00,0.00,0.00,0.00,Hybrid,Solar/Battery,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036523,J3607,2024-04-18T04:00:00+00:00,2028-07-01T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Henry,IN,DPP-2023,Central,Study Not Started,NRIS,New Castle I Avenue,47.40,47.40,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-09-26T04:00:00+00:00,,,
3036524,J3612,2024-04-17T04:00:00+00:00,2028-09-30T04:00:00+00:00,CLECO POWER LLC,Sabine,LA,DPP-2023,South,Study Not Started,NRIS,Fisher - Many 138.0kV,200.00,200.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-09-24T04:00:00+00:00,,,
3036525,J3613,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,"ENTERGY ARKANSAS, LLC",Ashley,AR,DPP-2023,South,Study Not Started,NRIS,CROSSETT NORTH - HAMBURG 115.0kV,180.00,180.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036526,J3614,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,"ENTERGY ARKANSAS, LLC",Ashley,AR,DPP-2023,South,Study Not Started,NRIS,CROSSETT NORTH - HAMBURG 115.0kV,180.00,180.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036527,J3615,2024-04-16T04:00:00+00:00,2028-09-30T04:00:00+00:00,"ENTERGY ARKANSAS, LLC",Arkansas,AR,DPP-2023,South,Study Not Started,NRIS,STUTTGART NORTH SS - STUTTGART RICUSKEY 115.0kV,125.00,125.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-12-23T05:00:00+00:00,,,
3036528,J3610,2024-04-18T04:00:00+00:00,2028-06-30T04:00:00+00:00,"ENTERGY TEXAS, INC.",Tyler,TX,DPP-2023,South,Study Not Started,NRIS,DOUCETTE,150.00,150.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-03-25T04:00:00+00:00,,,
3036529,J3609,2024-04-02T04:00:00+00:00,2027-12-27T05:00:00+00:00,"ENTERGY LOUISIANA, LLC",Beauregard,LA,DPP-2023,South,Study Not Started,ERIS,NELSON 138 SWYD - LONGVILLE (CLECO) 138.0kV,93.10,93.10,0.00,0.00,0.00,0.00,Solar,Solar/Battery,Withdrawn,,,2025-09-30T04:00:00+00:00,,,
3036530,J3669,2024-04-18T04:00:00+00:00,2028-02-01T05:00:00+00:00,OTTER TAIL POWER COMPANY,Stevens,MN,DPP-2023,West,Study Not Started,ERIS,Big Stone South - Alexandria 345.0kV,135.00,135.00,135.00,0.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3036531,J3670,2024-04-18T04:00:00+00:00,2028-06-30T04:00:00+00:00,AMEREN ILLINOIS,LaSalle,IL,DPP-2023,Central,Study Not Started,NRIS,Corbin 138 kV,100.00,100.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-03-13T04:00:00+00:00,,,
