id,projectNumber,queueDate,inService,transmissionOwner,county,state,studyCycle,studyGroup,studyPhase,svcType,poiName,summerNetMW,winterNetMW,dp1ErisMw,dp1NrisMw,dp2ErisMw,dp2NrisMw,fuelType,facilityType,applicationStatus,sisPhase1,postGIAStatus,withdrawnDate,negInService,doneDate,giaToExec
3040238,J4183,2025-10-07T01:41:17+00:00,2027-04-28T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",,,DPP-2025,South,Phase 1,NRIS,,99.90,99.90,23.00,23.00,0.00,0.00,,,Active,,,,,,
3040239,J4182,2025-10-08T00:37:52+00:00,2028-11-01T04:00:00+00:00,"ENTERGY ARKANSAS, LLC",,,ERAS Study Cycle 2,South,,NRIS,,0.00,0.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040240,J4175,2025-10-07T19:08:44+00:00,2029-09-01T04:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,770.00,770.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040241,J4176,2025-10-06T23:46:01+00:00,2028-09-01T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",,,DPP-2025,South,Phase 1,NRIS,,1750.00,1750.00,0.00,0.00,0.00,0.00,,,Withdrawn,,,2026-01-02T05:00:00+00:00,,,
3040242,J4180,2025-10-07T20:00:44+00:00,2030-01-02T05:00:00+00:00,NORTHERN STATES POWER COMPANY,,,DPP-2026,West,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040243,J4186,2025-10-07T19:20:31+00:00,2029-09-01T04:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,1540.00,1540.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040244,J4179,2025-10-07T20:34:28+00:00,2030-01-02T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,,,DPP-2026,East (ATC),,NRIS,,735.00,735.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040245,J4187,2025-10-07T20:12:47+00:00,2030-01-02T05:00:00+00:00,NORTHERN STATES POWER COMPANY,,,DPP-2026,West,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040246,J4181,2025-10-07T20:21:33+00:00,2030-02-01T05:00:00+00:00,MINNESOTA POWER INC.,,,DPP-2026,West,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Withdrawn,,,2026-04-28T04:00:00+00:00,,,
3040247,J4184,2025-10-07T20:25:22+00:00,2030-02-01T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,,,DPP-2026,East (ATC),,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040248,J4177,2025-10-07T23:07:23+00:00,2030-01-02T05:00:00+00:00,AMERICAN TRANSMISSION COMPANY,,,DPP-2026,East (ATC),,NRIS,,735.00,735.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040249,J4178,2025-10-07T19:42:02+00:00,2030-01-02T05:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040250,J4185,2025-10-07T19:50:56+00:00,2030-01-02T05:00:00+00:00,"ENTERGY LOUISIANA, LLC",,,DPP-2026,South,,NRIS,,755.00,755.00,0.00,0.00,0.00,0.00,,,Active,,,,,,
3040251,J4146,2025-09-06T01:17:28+00:00,2028-08-04T04:00:00+00:00,"ENTERGY MISSISSIPPI, LLC.",,,0MW GIA,NA,,NRIS,,0.00,0.00,0.00,0.00,0.00,0.00,,,Active,,Not Started,,2028-08-04T04:00:00+00:00,,
3040252,J3831,2024-10-08T04:00:00+00:00,2029-06-01T04:00:00+00:00,INDIANAPOLIS POWER & LIGHT COMPANY,Madison,IN,DPP-2025,Central,Phase 1,NRIS,Noblesville (Duke) - Fall Creek (AEP/PJM) 345.0kV,215.00,240.00,0.00,0.00,0.00,0.00,Hybrid,Combustion Turbine (Simple Cycle),Withdrawn,,,2025-12-22T05:00:00+00:00,,,
3040253,J3832,2024-07-30T04:00:00+00:00,2028-04-05T04:00:00+00:00,ITC,Macomb,MI,DPP-2025,East (ITC),Phase 1,NRIS,Lenox 120kV Substation (Bus #264749),200.00,200.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2025-12-22T05:00:00+00:00,,,
3040254,J3834,2024-09-19T04:00:00+00:00,2026-10-01T04:00:00+00:00,"DUKE ENERGY INDIANA, LLC",Gibson,IN,DPP-2025,Central,Phase 1,NRIS,Gibson Sta - Francisco 345.0kV,300.00,300.00,0.00,0.00,0.00,0.00,Battery Storage,Battery Storage,Withdrawn,,,2026-04-14T04:00:00+00:00,,,
3040255,J3833,2024-10-01T04:00:00+00:00,2028-09-01T04:00:00+00:00,OTTER TAIL POWER COMPANY,Cass,ND,DPP-2025,West,Phase 1,NRIS,Buffalo 115 kV,200.00,200.00,200.00,200.00,0.00,0.00,Wind,Wind Turbine,Active,,,,,,
3040256,J3464,2024-04-16T04:00:00+00:00,2028-06-30T04:00:00+00:00,ITC MIDWEST,Story,IA,DPP-2023,West,Study Not Started,NRIS,Fernald,200.00,200.00,200.00,0.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
3040257,J3462,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,ITC MIDWEST,Tama,IA,DPP-2023,West,Study Not Started,NRIS,Dysart - Traer 161kV,187.00,187.00,0.00,0.00,0.00,0.00,Solar,Photovoltaic,Withdrawn,,,2025-06-04T04:00:00+00:00,,,
3040258,J3461,2024-04-17T04:00:00+00:00,2028-05-01T04:00:00+00:00,MIDAMERICAN ENERGY CO.,Muscatine,IA,DPP-2023,West,Study Not Started,NRIS,SUB 56 - SUB 89 161.0kV,156.00,156.00,156.00,156.00,0.00,0.00,Solar,Photovoltaic,Active,,,,,,
